Municipality,Population 2010,2017 (estimate)
Ribeirão Corrente ,4273,4644
Lupércio ,4353,4573
Ribeirão do Sul ,4446,4571
Monteiro Lobato ,4120,4549
Pontalinda ,4074,4519
João Ramalho ,4150,4468
Murutinga do Sul ,4186,4453
Santa Cruz da Conceição ,4002,4409
Buritizal ,4053,4408
Cabrália Paulista ,4365,4352
Aparecida d'Oeste ,4450,4329
Ocauçu ,4163,4308
Iporanga ,4299,4299
Onda Verde ,3884,4286
Populina ,4223,4240
Caiabu ,4072,4211
Monte Castelo ,4063,4190
Itapirapuã Paulista ,3880,4186
São José do Barreiro ,4077,4181
Sandovalina ,3699,4174
Presidente Alves ,4123,4155
Alto Alegre ,4102,4154
Alfredo Marcondes ,3891,4135
Altair ,3815,4109
Mariápolis ,3916,4087
Corumbataí ,3874,4054
Anhumas ,3738,4053
Paranapuã ,3815,4051
Nova Luzitânia ,3441,3953
Indiaporã ,3903,3951
Inúbia Paulista ,3630,3933
Redenção da Serra ,3873,3908
Meridiano ,3855,3892
Bom Sucesso de Itararé ,3571,3888
Areias ,3696,3879
Suzanápolis ,3383,3836
Álvares Florence ,3897,3795
Pracinha ,2858,3768
Nova Independência ,3068,3745
Macedônia ,3664,3736
Itaju ,3246,3703
Piquerobi ,3537,3693
Sarutaiá ,3622,3681
Quadra ,3236,3680
Rifaina ,3436,3618
Adolfo ,3557,3609
Elisiário ,3120,3537
Platina ,3192,3488
Pongaí ,3481,3480
Mombuca ,3266,3470
Sebastianópolis do Sul ,3031,3411
Barão de Antonina ,3116,3406
Ribeira ,3358,3390
Itaóca ,3228,3341
Águas de São Pedro ,2707,3268
Queiroz ,2808,3267
Jumirim ,2798,3237
Jeriquara ,3160,3202
Emilianópolis ,3020,3197
Alvinlândia ,3000,3196
Magda ,3200,3185
Rubinéia ,2862,3102
Pedrinhas Paulista ,2940,3087
Santo Expedito ,2803,3057
Nantes ,2707,3049
Rubiácea ,2729,3046
Mira Estrela ,2820,3045
Floreal ,3003,2982
Marapoama ,2633,2949
Santa Mercedes ,2831,2945
Bento de Abreu ,2674,2925
São Francisco ,2793,2850
Taquaral ,2726,2823
Brejo Alegre ,2573,2812
Cândido Rodrigues ,2668,2792
Gabriel Monteiro ,2708,2791
Estrela d'Oeste ,8208,2769
Florínea ,2829,2758
Lutécia ,2714,2705
Timburi ,2646,2690
Zacarias ,2335,2636
Oscar Bressane ,2537,2616
São João das Duas Pontes ,2566,2601
Pontes Gestal ,2518,2594
Cássia dos Coqueiros ,2634,2591
Óleo ,2673,2583
Borebi ,2293,2577
Pedranópolis ,2558,2547
Santa Rita do Passa Quatro ,26478,2544
Arapeí ,2493,2509
Embaúba ,2423,2476
Sagres ,2395,2453
Torre de Pedra ,2254,2395
Lucianópolis ,2249,2381
Nova Guataporanga ,2177,2304
Lourdes ,2128,2270
Monções ,2132,2249
Ribeirão dos Índios ,2187,2243
Cruzália ,2274,2161
Parisi ,2032,2150
Marinópolis ,2113,2140
Dolcinópolis ,2096,2136
Santa Clara d'Oeste ,2084,2134
São João do Pau d'Alho ,2103,2132
Santa Cruz da Esperança ,1953,2110
Guarani d'Oeste ,1970,2017
Turiúba ,1930,2016
Nova Canaã Paulista ,2114,1978
Mesópolis ,1886,1926
São João de Iracema ,1780,1904
Arco-Íris ,1925,1856
Aspásia ,1809,1842
Paulistânia ,1779,1841
Vitória Brasil ,1737,1833
Turmalina ,1978,1827
União Paulista ,1599,1793
Dirce Reis ,1689,1785
Fernão ,1563,1691
Trabiju ,1544,1691
Flora Rica ,1752,1571
Santana da Ponte Pensa ,1641,1555
Santa Salete ,1447,1536
Nova Castilho ,1125,1239
Uru ,1251,1207
Borá ,805,839
